2026-05-29,Wings Group,Mie Sedaap,Mie Mie Sedaap Goreng,SKU-A5BE8159,5 x 90g,18100,18100,0.00,Toko Grosir Sembako,Shopee,Jawa Barat,Depok,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Baso Special,SKU-97545A34,77g,3630,3630,0.00,Official Store,Shopee,DKI Jakarta,Jakarta Selatan,No Promo,NULL,NULL,NULL,Single Pack,NULL,NULL,108
2026-05-29,Wings Group,Mie Sedaap,1 Karton Mie Sedaap X 40 Prla Mie Sedap,SKU-3BF3F7F1,75g,122290,122290,0.00,Retail Express,Shopee,DKI Jakarta,Jakarta Barat,Bundling,Beli Banyak Lebih Murah,NULL,NULL,Multipack,2026-05-01,2026-05-31,628
2026-05-29,Wings Group,Mie Sedaap,Sedaap Mi Kuah White Curry,SKU-4A4C191A,81g,15400,15400,0.00,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Timur,No Promo,NULL,Kari,White Curry,Multipack,NULL,NULL,4000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Singapore Spicy Laksa,SKU-14DABD95,86g,5600,5600,0.00,Mitra Distributor,Shopee,Jawa Barat,Bandung,No Promo,NULL,Laksa,Singapore Spicy Laksa,Single Pack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap All Variant,SKU-C1D90F9B,NULL,4500,4500,0.00,Toko Grosir Sembako,Shopee,Banten,Tangerang,No Promo,NULL,NULL,NULL,Single Pack,NULL,NULL,216
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Ayam Krispi,SKU-CAF9CB29,88g,11000,11000,0.00,Toko Grosir Sembako,Shopee,Jawa Tengah,Magelang,No Promo,NULL,Goreng,Ayam Krispi,Single Pack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Banyak Variasi Pilihan -Nikmati Kelezatan Bumbu Otentik Halal Bpom,SKU-FDD6EDC1,20 pcs,65999,65999,0.00,Retail Express,Shopee,DKI Jakarta,Jakarta Barat,No Promo,NULL,NULL,NULL,Multipack,NULL,NULL,70
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Soto,SKU-84BDBB10,5 pcs,14500,14500,0.00,Toko Kelontong Digital,Shopee,DKI Jakarta,Jakarta Utara,No Promo,NULL,Soto,NULL,Multipack,NULL,NULL,41
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Korean Spicy Chicken,SKU-51519FA6,81g,14500,14500,0.00,Toko Kelontong Digital,Shopee,Jawa Barat,Bekasi,No Promo,NULL,Korean,Spicy Chicken,Multipack,NULL,NULL,10000
