brand,nama_produk,harga_coret,harga_diskon,nominal_diskon,jumlah_terjual,e_commerce,country,tipe_kemasan
Wings,Mie Sedaap Ayam Bawang Isi 20 Pcs | Paket Hemat Mie Instan Ayam Bawang | Mi Sedaap Original,0,72900,0,0,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Cup Kari Mercon 79 gr x12,0,52100,0,6000,Shopee,Indonesia,Bundling
Wings,SEDAAP MIE KOREAN SPICY CHICKEN CUP 81 GR,0,5340,0,120,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Mie Instan Kari Ayam 72 gr x 15,0,49700,0,86,Shopee,Indonesia,Satuan
Wings,mie instan sedaap goreng 90g,0,3800,0,183,Shopee,Indonesia,Satuan
Wings,SEDAAP MIE RASA SOTO CUP 81 GR,0,5230,0,121,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Goreng Ala Chef Bag 93 gr x 2 pcs,0,7500,0,1000,Shopee,Indonesia,Bundling
Wings,SEDAAP MI KUAH RASA SOTO ISI 5BKS @75 GR KARTON,0,122780,0,3,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Ayam Bawang Bag 71 gr x40,0,121200,0,10000,Shopee,Indonesia,Grosir
Wings,Mie Sedaap Korean Spicy Chicken 87 gr x 5,0,18100,0,8000,Shopee,Indonesia,Bundling
Wings,SEDAAP MIE CUP RASA BASO BLEDUK 77G,0,5230,0,177,Shopee,Indonesia,Satuan
Wings,SEDAP MIE 85g 1dus murah dan Nikmat,0,160000,0,226,Shopee,Indonesia,Grosir
Wings,MIE SEDAAP Goreng Ayam Bakar Limau 5pcs x 89gr,0,23000,0,32,Shopee,Indonesia,Bundling
Wings,Mie Sedap Soto Isi 5 Rasa Autentik,0,14500,0,195,Shopee,Indonesia,Bundling
Wings,[1 Dus] Mie Sedaap Goreng 91 Gram 40 Pcs - Mie Sedaap Goreng Nikmat 1 Karton,0,126990,0,8,Shopee,Indonesia,Grosir
Wings,Mie Sedaap Mi goreng series,0,5000,0,20,Shopee,Indonesia,Satuan
Wings,Mie sedap SEDAAP all varian/mie sedap all varian goreng soto bakso koreo laksa spicy PROMO MURAH !!!,0,3342,0,1000,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Ayam Bawang Bag 71 gr x 2 pcs,0,7200,0,911,Shopee,Indonesia,Bundling
Wings,Mie Instan - Mie Sedaap Mix Variant Goreng dan Kuah - 1 dus - 40 Pcs (Best Seller),0,149100,0,26,Shopee,Indonesia,Grosir
Wings,SEDAAP MIE KOREAN SPICY CHICKEN 87GR,0,3600,0,561,Shopee,Indonesia,Satuan
Wings,1 karton Mie Sedaap Goreng 1 Karton Isi 40 Pcs Mie Instan Favorit,0,144500,0,6,Shopee,Indonesia,Grosir
